id,store_name,store_type,part_of_the_city,district,address,nationality,business_queue,num_of_cashiers,product,price_in_huf,position_on_the_shelf,discounted,person,date_time
22_1,Kőhíd ABC,Grocery Store,outer,16,"Budapest, Csömöri út 182, 1162",Hungarian,1,1,Coca Cola 0.5l plastic bottle,390,middle,no,Peter,9.28 14:32
22_2,Kőhíd ABC,Grocery Store,outer,16,"Budapest, Csömöri út 182, 1162",Hungarian,1,1,Nutella 400g,1350,top,no,Peter,9.28 14:32
23_1,ALDI,Supermarket,outer,16,"Budapest, Bökényföldi út 102, 1165",German,7,1,Coca Cola 0.5l plastic bottle,259,top,no,Peter,9.28 17:10
23_2,ALDI,Supermarket,outer,16,"Budapest, Bökényföldi út 102, 1165",German,7,1,Nutella 400g,1289,bottom,no,Peter,9.28 17:10
24_1,Tesco,Supermarket,outer,16,"Budapest, Rákosi út 142-146, 1162",English,0,1,Coca Cola 0.5l plastic bottle,N/A,N/A,N/A,Peter,9.28 17:20
24_2,Tesco,Supermarket,outer,16,"Budapest, Rákosi út 142-146, 1162",English,0,1,Nutella 400g,N/A,N/A,N/A,Peter,9.28 17:20
25_1,Mini elemiszer,Grocery Store,outer,16,"Budapest, Veres Peter ut 23, 1163",Hungarian,1,1,Coca Cola 0.5l plastic bottle,310,Middle,no,Rauhan,9.28 18:01
25_2,Mini elemiszer,Grocery Store,outer,16,"Budapest, Veres Peter ut 23, 1163",Hungarian,1,1,Nutella 400g,N/A,N/A,N/A,Rauhan,9.28 18:01
26_1,Spar,Supermarket,outer,16,"Budapest, Veres Péter út 47, 1163",Dutch,3,3,Coca Cola 0.5l plastic bottle,269,Top,no,Rauhan,9.28 18:27
26_2,Spar,Supermarket,outer,16,"Budapest, Veres Péter út 47, 1163",Dutch,3,3,Nutella 400g,1289,Top,no,Rauhan,9.28 18:27
